date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,81.75,82.465,81.66,82.38,3805384,UPS,,
2013-02-11,82.11,82.73,82.11,82.69,3063846,UPS,0.003763049283806777,
2013-02-12,83.07,83.08,82.23,82.31,3941726,UPS,-0.004595477083081333,
2013-02-13,82.44,82.69,82.39,82.5,2928543,UPS,0.002308346494958058,
2013-02-14,82.19,82.83,81.89,82.69,3761483,UPS,0.0023030303030302755,
2013-02-15,83.14,84.11,82.79,83.48,4983025,UPS,0.009553754988511383,
2013-02-19,83.5,84.87,83.48,84.76,5443088,UPS,0.015333013895543856,
2013-02-20,84.64,84.69,83.81,83.81,4456363,UPS,-0.011208117036337928,
2013-02-21,82.87,83.14,82.27,82.61,5027369,UPS,-0.0143181004653383,
2013-02-22,82.985,83.19,82.67,82.94,2394488,UPS,0.003994673768308901,
2013-02-25,83.28,83.6688,81.94,81.94,3996977,UPS,-0.012056908608632746,
2013-02-26,82.33,82.51,81.51,81.94,3806853,UPS,0.0,
2013-02-27,81.84,83.09,81.78,82.83,4015486,UPS,0.010861606053209672,
2013-02-28,82.99,83.2,82.65,82.65,3744489,UPS,-0.0021731256791016856,
2013-03-01,82.55,82.99,82.28,82.87,2723936,UPS,0.002661826981246205,
2013-03-04,82.85,82.95,82.4,82.93,2738570,UPS,0.0007240255822372664,
2013-03-05,83.23,84.46,83.12,84.07,3581372,UPS,0.013746533220788452,
2013-03-06,84.52,84.74,84.21,84.43,3221816,UPS,0.004282145830855402,
2013-03-07,84.44,84.65,83.98,84.3,2404784,UPS,-0.0015397370602867424,
2013-03-08,84.7,84.75,84.24,84.44,2227112,UPS,0.001660735468564657,
2013-03-11,84.33,84.95,84.33,84.68,2794866,UPS,0.002842254855518819,
2013-03-12,84.8,84.95,84.12,84.53,2502204,UPS,-0.0017713745866793302,
2013-03-13,84.53,85.32,84.48,85.18,2885658,UPS,0.007689577664734481,
2013-03-14,85.22,85.7,85.18,85.63,3414856,UPS,0.005282930265320364,
2013-03-15,85.15,85.66,84.98,85.47,5019851,UPS,-0.0018685040289617726,
2013-03-18,84.81,85.62,84.59,85.43,3374241,UPS,-0.0004680004680003749,
2013-03-19,85.56,85.8451,84.82,85.08,3640268,UPS,-0.0040969214561630395,
2013-03-20,84.17,84.96,83.83,84.03,5285388,UPS,-0.012341325811001377,
2013-03-21,83.79,84.15,82.67,83.0,5825282,UPS,-0.012257527073664181,
2013-03-22,83.3,84.86,83.27,84.76,4637168,UPS,0.021204819277108496,83.67866666666667
2013-03-25,84.98,85.03,84.11,84.61,4080285,UPS,-0.0017697026899481556,83.753
2013-03-26,84.85,85.08,84.52,85.04,3184935,UPS,0.0050821415908285875,83.83133333333333
2013-03-27,84.84,85.54,84.65,85.43,2612158,UPS,0.004586077140169339,83.93533333333333
2013-03-28,85.16,85.925,85.01,85.9,3499163,UPS,0.005501580241133078,84.04866666666666
2013-04-01,85.81,85.95,84.33,84.47,2959897,UPS,-0.016647264260768412,84.10799999999999
2013-04-02,83.84,84.345,83.65,83.92,4132902,UPS,-0.006511187403811971,84.12266666666666
2013-04-03,84.01,84.08,83.11,83.33,4011159,UPS,-0.007030505243088696,84.075
2013-04-04,83.46,83.86,83.27,83.67,2730679,UPS,0.004080163206528302,84.07033333333334
2013-04-05,82.81,83.64,82.33,83.54,3031545,UPS,-0.0015537229592445972,84.10133333333333
2013-04-08,83.55,83.7,82.85,83.23,3057050,UPS,-0.0037107972228872664,84.111
2013-04-09,83.5,83.82,82.97,83.55,3164523,UPS,0.003844767511714444,84.16466666666666
2013-04-10,83.73,84.82,83.67,84.56,3447677,UPS,0.01208856971873136,84.252
2013-04-11,84.66,84.7801,84.17,84.32,3788198,UPS,-0.0028382213812678464,84.30166666666666
2013-04-12,84.15,84.38,83.88,84.14,2492522,UPS,-0.002134724857684922,84.35133333333333
2013-04-15,83.97,84.09,82.37,82.41,3676847,UPS,-0.02056096981221778,84.336
